"id_nompro";"pro_nom"
1;Elaion F10
2;Ultra - Diesel
3;Euro - Diesel
4;Extra Vida
5;Hidraulico
6;Ypf Glifosato
7;Grasas - Litio
8;Hipoidal
9;Urea
10;Insecticidas
11;Grasas
12;Xv 100
13;Normal
14;Curafrutal
15;Transmision
16;Liquido Para Frenos
17;Multiturbo
18;Woolf
19;Elaion Moto
20;Hidro Atf
21;Refrigerante
22;John Deere
23;Otros
24;Xv 300
25;Elaion F30
26;Elaion F50
27;Emulsivo Hv
28;Normal 40
29;Suplemento
30;Elaion Moto 4t
31;Elaion Moto 2t
32;Abamectina
33;Fosfato Di Amonico
34;Super Fosfato Triple
35;Normal 50
36;Super 20w50
37;Parafina
38;Turbina
39;Transformador
40;Elaion
41;Motocadena
42;Criox 3
43;Boreal Bl
44;Frigorifico 68
45;Hidraulico Bp 68
46;Grasa 62 Ep
47;Grasa Limit Mo 2
48;Kriox 3 B20
49;Hipoidal 80w90
50;Suplemento 1-40
51;Hidro 19
52;Hipoidal 85w140
53;Grasa 30 C
54;Elaion Moto 10w50
55;Helicoidal M80w
56;Kriox 12/1
57;Kriox Tb
58;Asfalto
59;No Se Detalla
60;Diesel At 40
61;Multigrados
62;Industriales
63;Curafrutal Hv
64;Curafrutal Lv
65;Transmion 90
66;Transmison 140
67;Glifosato
68;Kratos S21
69;Hidro Movil
70;Helix
71;Rimula
72;No Utilizan
73;Hidraulico 32
74;Atrazina
75;"2.4 D Amina"
76;Cauquen
77;Hidraulico Bp 100
78;Ametrina
79;Clorpirifos
80;Ft Super
81;"2t Nautico"
82;Fungicidas
83;Molino Tpb-tpd
84;Liso 68
85;Jet A 1
86;Hidraulico Bp 32
87;Ypf Silobolsas
88;Vectis
89;Monogrado 40y50
90;Asfasol 30
91;Cobre
92;Transmision Ep 150
93;Azul 32
94;Infinia
95;Dot 3
96;LÃ­quido Refrigerante
97;Varios
98;Triple 15
